timestamp,open,high,low,close,volume
2025-09-15 00:00:00,6588.25,6589.50,6585.25,6588.75,3116
2025-09-15 01:00:00,6588.75,6591.50,6588.50,6591.00,1671
2025-09-15 02:00:00,6590.75,6592.25,6589.50,6592.25,1568
2025-09-15 03:00:00,6592.00,6593.75,6591.50,6592.25,1562
2025-09-15 04:00:00,6592.25,6594.00,6592.25,6594.00,773
2025-09-15 05:00:00,6593.75,6596.50,6592.00,6595.75,1840
2025-09-15 06:00:00,6595.75,6599.25,6594.50,6598.50,4111
2025-09-15 07:00:00,6598.25,6600.75,6596.75,6598.50,5786
2025-09-15 08:00:00,6598.50,6598.75,6586.25,6594.25,12738
2025-09-15 09:00:00,6594.00,6595.00,6591.00,6594.50,3434
2025-09-15 10:00:00,6594.50,6599.00,6593.75,6598.50,4004
2025-09-15 11:00:00,6598.75,6602.50,6598.25,6602.00,6567
2025-09-15 12:00:00,6602.00,6609.75,6601.25,6609.50,14623
2025-09-15 13:00:00,6609.50,6619.75,6606.75,6619.50,59320
2025-09-15 14:00:00,6619.25,6623.00,6612.75,6622.50,56533
2025-09-15 15:00:00,6622.50,6623.50,6615.00,6619.00,44090
2025-09-15 16:00:00,6618.75,6621.75,6613.25,6613.75,28749
2025-09-15 17:00:00,6613.75,6619.50,6607.75,6619.00,46867
2025-09-15 18:00:00,6618.75,6619.00,6605.50,6612.75,35202
2025-09-15 19:00:00,6612.50,6622.75,6609.75,6621.75,72540
2025-09-15 20:00:00,6621.75,6622.50,6616.00,6616.75,23821
2025-09-15 22:00:00,6616.25,6617.50,6614.00,6615.00,1536
2025-09-15 23:00:00,6614.75,6621.25,6614.50,6620.25,1187
2025-09-16 00:00:00,6620.25,6620.25,6615.25,6619.00,2099
2025-09-16 01:00:00,6619.00,6621.50,6618.00,6619.75,1439
2025-09-16 02:00:00,6620.00,6625.75,6620.00,6623.00,1667
2025-09-16 03:00:00,6623.25,6627.75,6623.00,6627.25,1301
2025-09-16 04:00:00,6627.00,6627.25,6625.75,6626.75,574
2025-09-16 05:00:00,6626.75,6631.75,6626.00,6629.25,1234
2025-09-16 06:00:00,6629.25,6631.00,6625.50,6625.75,1463
2025-09-16 07:00:00,6625.75,6630.50,6625.25,6630.25,3328
2025-09-16 08:00:00,6630.00,6639.00,6629.75,6636.75,3457
2025-09-16 09:00:00,6637.00,6638.75,6632.50,6634.25,2102
2025-09-16 10:00:00,6634.25,6634.75,6632.50,6633.50,2192
2025-09-16 11:00:00,6633.50,6633.50,6629.75,6631.50,3246
2025-09-16 12:00:00,6631.75,6632.00,6624.00,6626.75,5735
2025-09-16 13:00:00,6626.75,6630.25,6612.50,6615.25,35194
2025-09-16 14:00:00,6615.00,6617.50,6608.25,6610.75,32220
2025-09-16 15:00:00,6611.00,6613.50,6604.25,6609.00,25243
2025-09-16 16:00:00,6608.75,6613.25,6607.00,6611.75,13731
2025-09-16 17:00:00,6611.75,6616.75,6611.50,6614.25,13481
2025-09-16 18:00:00,6614.00,6619.75,6612.50,6618.50,12675
2025-09-16 19:00:00,6618.25,6619.50,6609.00,6611.50,50124
2025-09-16 20:00:00,6611.50,6616.50,6610.75,6613.00,10605
2025-09-16 22:00:00,6613.00,6617.25,6611.00,6616.25,997
2025-09-16 23:00:00,6616.25,6617.00,6614.00,6615.25,515
2025-09-17 00:00:00,6615.25,6617.00,6613.25,6614.75,845
2025-09-17 01:00:00,6614.75,6615.50,6610.75,6611.25,878
2025-09-17 02:00:00,6611.25,6611.50,6607.50,6609.50,692
2025-09-17 03:00:00,6609.50,6609.50,6607.75,6608.25,232
2025-09-17 04:00:00,6608.25,6609.75,6606.75,6608.50,355
2025-09-17 05:00:00,6608.50,6609.25,6605.25,6608.00,466
2025-09-17 06:00:00,6608.25,6612.00,6606.50,6611.00,1048
2025-09-17 07:00:00,6611.25,6615.50,6609.00,6614.00,1800
2025-09-17 08:00:00,6613.75,6614.50,6595.00,6608.25,5623
2025-09-17 09:00:00,6608.50,6612.25,6607.75,6609.25,1865
2025-09-17 10:00:00,6609.00,6610.50,6602.75,6604.75,1351
2025-09-17 11:00:00,6604.75,6608.50,6602.50,6605.50,2359
2025-09-17 12:00:00,6605.75,6610.75,6604.75,6610.75,2629
2025-09-17 13:00:00,6610.50,6618.25,6608.00,6610.00,16683
2025-09-17 14:00:00,6610.25,6611.00,6602.00,6604.75,14484
2025-09-17 15:00:00,6604.75,6608.50,6600.50,6604.00,9120
2025-09-17 16:00:00,6604.25,6605.00,6592.75,6594.75,8239
2025-09-17 17:00:00,6594.75,6608.25,6594.50,6607.75,7820
2025-09-17 18:00:00,6607.25,6629.00,6554.00,6588.75,87725
2025-09-17 19:00:00,6588.50,6618.50,6586.25,6602.75,71383
2025-09-17 20:00:00,6603.00,6611.50,6602.50,6607.75,10439
2025-09-17 22:00:00,6606.00,6625.25,6605.75,6623.50,1891
2025-09-17 23:00:00,6623.75,6627.25,6623.00,6625.25,1263
2025-09-18 00:00:00,6625.75,6625.75,6619.50,6620.25,913
2025-09-18 01:00:00,6620.50,6626.50,6620.00,6625.50,812
2025-09-18 02:00:00,6625.50,6630.00,6623.75,6630.00,779
2025-09-18 03:00:00,6629.75,6633.75,6629.50,6632.75,709
2025-09-18 04:00:00,6632.25,6636.00,6631.25,6634.50,559
2025-09-18 05:00:00,6635.00,6635.75,6627.25,6629.25,875
2025-09-18 06:00:00,6628.75,6632.50,6622.25,6632.25,1671
2025-09-18 07:00:00,6632.00,6643.75,6631.00,6642.25,2594
2025-09-18 08:00:00,6642.00,6661.50,6640.75,6660.50,3671
2025-09-18 09:00:00,6660.50,6662.00,6656.25,6657.50,1873
2025-09-18 10:00:00,6657.25,6660.00,6649.50,6652.50,2143
2025-09-18 11:00:00,6652.75,6659.25,6648.75,6652.25,3356
2025-09-18 12:00:00,6652.50,6654.75,6633.75,6635.50,4274
2025-09-18 13:00:00,6635.25,6636.25,6613.00,6631.00,19832
2025-09-18 14:00:00,6631.25,6661.50,6630.50,6637.75,22447
2025-09-18 15:00:00,6638.25,6650.50,6631.75,6636.25,16311
2025-09-18 16:00:00,6636.00,6653.50,6633.50,6651.25,7612
2025-09-18 17:00:00,6650.75,6652.75,6635.25,6638.00,8875
2025-09-18 18:00:00,6637.75,6645.50,6633.50,6642.75,6347
2025-09-18 19:00:00,6643.00,6645.00,6630.00,6634.00,18296
2025-09-18 20:00:00,6633.75,6641.75,6633.00,6640.25,7028
2025-09-18 22:00:00,6640.00,6647.00,6640.00,6645.75,387
2025-09-18 23:00:00,6645.75,6647.75,6643.75,6645.50,195
2025-09-19 00:00:00,6645.75,6648.00,6635.00,6638.75,396
2025-09-19 01:00:00,6638.25,6642.00,6637.00,6641.75,254
2025-09-19 02:00:00,6641.00,6642.25,6636.00,6638.00,127
2025-09-19 03:00:00,6638.25,6644.25,6637.75,6639.00,209
2025-09-19 04:00:00,6639.25,6641.75,6632.50,6640.75,389
2025-09-19 05:00:00,6641.00,6641.25,6633.50,6635.75,180
2025-09-19 06:00:00,6635.00,6637.25,6626.75,6626.75,497
2025-09-19 07:00:00,6627.50,6631.75,6622.75,6630.75,504
2025-09-19 08:00:00,6630.00,6637.25,6630.00,6635.00,552
2025-09-19 09:00:00,6635.00,6640.00,6635.00,6635.50,358
2025-09-19 10:00:00,6635.75,6639.75,6634.00,6638.25,382
2025-09-19 11:00:00,6638.50,6642.25,6636.00,6642.25,601
2025-09-19 12:00:00,6641.50,6648.25,6641.25,6644.75,820
2025-09-19 13:00:00,6644.25,6660.75,6644.25,6657.25,1947
2025-09-21 22:00:00,6716.00,6721.25,6712.25,6716.50,6753
2025-09-21 23:00:00,6716.50,6717.25,6714.00,6714.75,2612
2025-09-22 00:00:00,6714.75,6720.00,6710.50,6711.50,7996
2025-09-22 01:00:00,6711.50,6716.50,6710.75,6714.50,6445
2025-09-22 02:00:00,6714.25,6716.50,6713.50,6716.00,3252
2025-09-22 03:00:00,6715.75,6719.00,6713.75,6718.00,3760
2025-09-22 04:00:00,6718.00,6718.50,6715.50,6715.75,2385
2025-09-22 05:00:00,6715.75,6718.25,6714.75,6714.75,3232
2025-09-22 06:00:00,6715.00,6715.75,6709.25,6710.25,7675
2025-09-22 07:00:00,6710.50,6713.00,6695.25,6702.00,17515
2025-09-22 08:00:00,6702.25,6711.50,6701.25,6704.25,11892
2025-09-22 09:00:00,6704.50,6705.75,6699.25,6702.75,8151
2025-09-22 10:00:00,6702.75,6708.50,6700.75,6701.50,8219
2025-09-22 11:00:00,6701.50,6704.00,6699.00,6703.75,11034
2025-09-22 12:00:00,6703.50,6704.75,6698.50,6703.25,17854
2025-09-22 13:00:00,6703.00,6719.25,6700.00,6717.75,124794
2025-09-22 14:00:00,6718.00,6734.75,6715.50,6734.25,148457
2025-09-22 15:00:00,6734.00,6737.50,6728.50,6729.75,110843
2025-09-22 16:00:00,6729.75,6749.25,6729.50,6748.25,123327
2025-09-22 17:00:00,6748.00,6752.00,6745.25,6747.50,73460
2025-09-22 18:00:00,6747.50,6752.50,6744.50,6752.25,68708
2025-09-22 19:00:00,6752.00,6756.75,6751.00,6751.75,189864
2025-09-22 20:00:00,6751.75,6752.25,6744.75,6749.75,58458
2025-09-22 22:00:00,6749.50,6751.00,6745.75,6748.25,5270
2025-09-22 23:00:00,6748.25,6752.50,6747.50,6751.00,3223
2025-09-23 00:00:00,6751.00,6752.50,6748.50,6749.75,4160
2025-09-23 01:00:00,6749.75,6753.25,6749.00,6750.50,3985
2025-09-23 02:00:00,6750.50,6752.50,6750.25,6750.50,2454
2025-09-23 03:00:00,6750.50,6752.50,6750.25,6751.25,2160
2025-09-23 04:00:00,6751.25,6751.50,6746.25,6747.50,3401
2025-09-23 05:00:00,6747.25,6754.00,6746.75,6750.50,4134
