timestamp,open,high,low,close,volume
2025-09-15 07:00:00,117.62,117.62,117.62,117.62,3
2025-09-15 12:00:00,118.19,118.19,118.19,118.19,1
2025-09-15 13:00:00,118.25,118.25,118.25,118.25,67
2025-09-15 14:00:00,118.16,118.16,118.16,118.16,8
2025-09-15 17:00:00,118.31,118.34,118.28,118.28,37
2025-09-15 20:00:00,118.28,118.28,118.25,118.25,8
2025-09-16 08:00:00,118.44,118.44,118.44,118.44,1
2025-09-16 12:00:00,117.97,117.97,117.97,117.97,1
2025-09-16 14:00:00,118.25,118.25,118.25,118.25,1
2025-09-16 15:00:00,118.19,118.19,118.19,118.19,1
2025-09-16 17:00:00,118.47,118.47,118.44,118.44,17
2025-09-17 11:00:00,118.72,118.72,118.66,118.66,2
2025-09-17 12:00:00,118.62,118.62,118.53,118.53,10
2025-09-17 14:00:00,118.50,118.50,118.50,118.50,50
2025-09-17 18:00:00,118.91,118.91,117.81,117.81,6
2025-09-17 20:00:00,118.00,118.00,117.72,117.72,20
2025-09-17 22:00:00,117.62,117.78,117.62,117.75,26
2025-09-18 04:00:00,118.19,118.19,118.19,118.19,1
2025-09-18 12:00:00,117.88,118.00,117.84,118.00,30
2025-09-18 13:00:00,117.16,117.16,117.03,117.03,51
2025-09-18 14:00:00,117.03,117.03,117.00,117.00,5
2025-09-18 16:00:00,117.34,117.38,117.34,117.38,24
2025-09-18 17:00:00,117.31,117.31,117.31,117.31,2
2025-09-18 18:00:00,117.31,117.31,117.31,117.31,3
2025-09-18 19:00:00,117.19,117.19,117.19,117.19,6
2025-09-19 12:00:00,117.00,117.00,116.88,116.88,5
2025-09-19 13:00:00,116.84,116.84,116.84,116.84,2
2025-09-19 14:00:00,116.94,116.94,116.94,116.94,2
2025-09-19 15:00:00,116.78,116.81,116.75,116.81,285
2025-09-19 16:00:00,116.62,116.78,116.62,116.78,5
2025-09-19 17:00:00,116.78,116.78,116.78,116.78,35
2025-09-21 22:00:00,116.44,116.47,116.38,116.38,1208
2025-09-21 23:00:00,116.38,116.41,116.31,116.34,624
2025-09-22 00:00:00,116.31,116.38,116.25,116.31,2725
2025-09-22 01:00:00,116.34,116.38,116.28,116.28,1366
2025-09-22 02:00:00,116.28,116.31,116.22,116.25,1183
2025-09-22 03:00:00,116.25,116.34,116.25,116.31,1324
2025-09-22 04:00:00,116.28,116.31,116.19,116.22,6194
2025-09-22 05:00:00,116.22,116.34,116.19,116.31,4556
2025-09-22 06:00:00,116.31,116.50,116.28,116.44,4729
2025-09-22 07:00:00,116.44,116.50,116.28,116.41,9721
2025-09-22 08:00:00,116.38,116.53,116.38,116.50,7072
2025-09-22 09:00:00,116.50,116.53,116.41,116.44,4783
2025-09-22 10:00:00,116.47,116.53,116.38,116.47,5450
2025-09-22 11:00:00,116.50,116.59,116.47,116.53,8921
2025-09-22 12:00:00,116.50,116.56,116.31,116.34,29374
2025-09-22 13:00:00,116.31,116.47,116.16,116.25,41867
2025-09-22 14:00:00,116.22,116.31,116.12,116.25,48179
2025-09-22 15:00:00,116.25,116.41,116.06,116.06,28966
2025-09-22 16:00:00,116.06,116.41,116.03,116.34,26152
2025-09-22 17:00:00,116.34,116.41,116.22,116.22,19162
2025-09-22 18:00:00,116.25,116.34,116.16,116.28,21791
2025-09-22 19:00:00,116.28,116.31,116.09,116.12,33422
2025-09-22 20:00:00,116.16,116.22,116.06,116.16,19158
2025-09-22 22:00:00,116.19,116.28,116.19,116.25,1152
2025-09-22 23:00:00,116.25,116.25,116.16,116.16,958
2025-09-23 00:00:00,116.19,116.28,116.19,116.25,1211
2025-09-23 01:00:00,116.22,116.28,116.22,116.28,1089
2025-09-23 02:00:00,116.28,116.31,116.25,116.25,1378
2025-09-23 03:00:00,116.25,116.25,116.16,116.19,3263
2025-09-23 04:00:00,116.19,116.25,116.16,116.25,2066
2025-09-23 05:00:00,116.22,116.31,116.22,116.31,540
2025-09-23 06:00:00,116.28,116.47,116.25,116.47,5345
2025-09-23 07:00:00,116.44,116.50,116.28,116.41,11866
2025-09-23 08:00:00,116.38,116.50,116.38,116.47,6764
2025-09-23 09:00:00,116.47,116.56,116.38,116.53,6280
2025-09-23 10:00:00,116.53,116.53,116.38,116.50,10324
2025-09-23 11:00:00,116.50,116.59,116.38,116.56,11030
2025-09-23 12:00:00,116.56,116.56,116.22,116.34,30571
2025-09-23 13:00:00,116.34,116.47,116.19,116.28,36605
2025-09-23 14:00:00,116.25,116.34,116.16,116.25,21562
2025-09-23 15:00:00,116.25,116.41,116.19,116.41,21785
2025-09-23 16:00:00,116.41,116.56,116.25,116.31,37811
2025-09-23 17:00:00,116.31,116.75,116.25,116.66,42760
2025-09-23 18:00:00,116.62,116.72,116.56,116.62,30749
2025-09-23 19:00:00,116.59,116.78,116.56,116.75,34938
2025-09-23 20:00:00,116.72,116.84,116.69,116.81,22607
2025-09-23 22:00:00,116.84,116.88,116.78,116.81,1478
2025-09-23 23:00:00,116.78,116.84,116.78,116.81,1351
2025-09-24 00:00:00,116.81,116.88,116.78,116.84,1780
2025-09-24 01:00:00,116.84,116.84,116.75,116.75,1476
2025-09-24 02:00:00,116.75,116.78,116.72,116.75,2060
2025-09-24 03:00:00,116.75,116.81,116.75,116.78,1156
2025-09-24 04:00:00,116.78,116.81,116.78,116.81,893
2025-09-24 05:00:00,116.81,116.91,116.81,116.88,2932
2025-09-24 06:00:00,116.84,116.91,116.78,116.81,4859
2025-09-24 07:00:00,116.84,116.88,116.75,116.81,7924
2025-09-24 08:00:00,116.81,116.94,116.81,116.84,8939
2025-09-24 09:00:00,116.84,116.84,116.69,116.81,7662
2025-09-24 10:00:00,116.81,116.84,116.66,116.72,6115
2025-09-24 11:00:00,116.69,116.72,116.44,116.44,13932
2025-09-24 12:00:00,116.44,116.53,116.34,116.44,36713
2025-09-24 13:00:00,116.41,116.53,116.38,116.41,21326
2025-09-24 14:00:00,116.41,116.56,116.31,116.47,32006
2025-09-24 15:00:00,116.47,116.56,116.34,116.44,27958
2025-09-24 16:00:00,116.41,116.44,116.34,116.41,14521
2025-09-24 17:00:00,116.41,116.50,116.31,116.44,17485
2025-09-24 18:00:00,116.41,116.41,116.16,116.28,52352
2025-09-24 19:00:00,116.28,116.41,116.25,116.41,50225
2025-09-24 20:00:00,116.38,116.41,116.31,116.38,23029
2025-09-24 22:00:00,116.34,116.44,116.31,116.44,1403
2025-09-24 23:00:00,116.41,116.44,116.38,116.41,383
2025-09-25 00:00:00,116.41,116.47,116.41,116.47,3040
2025-09-25 01:00:00,116.44,116.53,116.41,116.47,3512
2025-09-25 02:00:00,116.44,116.47,116.41,116.41,762
2025-09-25 03:00:00,116.38,116.44,116.38,116.44,1476
2025-09-25 04:00:00,116.41,116.47,116.41,116.44,1095
2025-09-25 05:00:00,116.44,116.47,116.38,116.44,1582
2025-09-25 06:00:00,116.44,116.47,116.22,116.38,8254
2025-09-25 07:00:00,116.38,116.53,116.25,116.47,10038
2025-09-25 08:00:00,116.47,116.53,116.38,116.41,7253
2025-09-25 09:00:00,116.41,116.53,116.38,116.44,5952
2025-09-25 10:00:00,116.44,116.53,116.28,116.28,6708
2025-09-25 11:00:00,116.31,116.31,116.03,116.12,23632
2025-09-25 12:00:00,116.12,116.41,115.88,115.97,55336
2025-09-25 13:00:00,115.97,116.28,115.88,115.91,46339
2025-09-25 14:00:00,115.88,116.16,115.84,116.09,43717
2025-09-25 15:00:00,116.06,116.09,115.75,115.91,32976
2025-09-25 16:00:00,115.91,116.16,115.88,116.09,30588
2025-09-25 17:00:00,116.09,116.16,115.91,116.09,28233
2025-09-25 18:00:00,116.12,116.34,116.03,116.22,36384
2025-09-25 19:00:00,116.25,116.31,116.19,116.28,24961
2025-09-25 20:00:00,116.25,116.31,116.22,116.28,13788
2025-09-25 22:00:00,116.34,116.38,116.28,116.31,818
2025-09-25 23:00:00,116.31,116.34,116.25,116.31,1686
2025-09-26 00:00:00,116.28,116.31,116.12,116.19,2647
2025-09-26 01:00:00,116.22,116.28,116.06,116.12,3353
2025-09-26 02:00:00,116.12,116.16,116.12,116.12,843
2025-09-26 03:00:00,116.16,116.22,116.09,116.16,1826
2025-09-26 04:00:00,116.19,116.19,116.12,116.12,1340
2025-09-26 05:00:00,116.16,116.16,115.97,116.03,4062
2025-09-26 06:00:00,116.00,116.09,115.97,116.06,9477
2025-09-26 07:00:00,116.06,116.16,115.94,116.12,9332
2025-09-26 08:00:00,116.12,116.28,116.09,116.19,10908
2025-09-26 09:00:00,116.19,116.34,116.16,116.28,9453
2025-09-26 10:00:00,116.31,116.34,116.12,116.19,6214
2025-09-26 11:00:00,116.16,116.41,116.16,116.34,10005
2025-09-26 12:00:00,116.34,116.50,116.25,116.38,40482
2025-09-26 13:00:00,116.41,116.41,116.03,116.09,36920
2025-09-26 14:00:00,116.09,116.66,116.03,116.44,58493
2025-09-26 15:00:00,116.41,116.41,116.09,116.09,40148
2025-09-26 16:00:00,116.09,116.09,115.88,115.97,34357
2025-09-26 17:00:00,116.00,116.09,115.94,116.00,16725
2025-09-26 18:00:00,115.97,116.06,115.94,116.00,17972
2025-09-26 19:00:00,116.03,116.16,115.97,116.09,19605
2025-09-26 20:00:00,116.09,116.31,116.09,116.19,17136
2025-09-28 22:00:00,116.09,116.28,116.09,116.25,2128
2025-09-28 23:00:00,116.22,116.34,116.22,116.31,1062
2025-09-29 00:00:00,116.31,116.41,116.31,116.41,2278
2025-09-29 01:00:00,116.38,116.47,116.38,116.44,1325
2025-09-29 02:00:00,116.41,116.44,116.38,116.44,1798
2025-09-29 03:00:00,116.44,116.47,116.41,116.44,1269
2025-09-29 04:00:00,116.44,116.47,116.41,116.44,680
2025-09-29 05:00:00,116.47,116.53,116.47,116.53,2138
2025-09-29 06:00:00,116.50,116.66,116.47,116.59,4824
2025-09-29 07:00:00,116.59,116.75,116.59,116.75,6416
2025-09-29 08:00:00,116.72,116.78,116.69,116.75,6550
2025-09-29 09:00:00,116.75,116.78,116.69,116.75,5602
2025-09-29 10:00:00,116.75,116.81,116.69,116.72,4992
2025-09-29 11:00:00,116.75,116.78,116.59,116.66,8524
2025-09-29 12:00:00,116.69,116.72,116.56,116.59,21770
2025-09-29 13:00:00,116.59,116.78,116.44,116.75,20974
